name,label
angleton,Angleton
annual_fatpasture_grass,Annual Fat Pasture Grass
annual_grasses,Annual grasses
annual_hairyfishbone_grass,Annual Hairy Fishbone Grass
annual_sorghum,Annual sorghum
annual_verbine,Annual verbine
aristida_sp,Aristida species
asbestos_grass ,Asbestos grass 
australian_drop_seed,Australian Drop Seed
balansa_clover,Balansa Clover
bambatsi_panic,Bambatsi Panic
bandicoot_grass,Bandicoot Grass
barbwire_grass,Barb wire grass
barley,Barley
barley_grass,Barley Grass
barley_mitchell,Barley Mitchell
bisset_bluegrass,Bisset Bluegrass
black_oats,Black Oats
black_rolly_poly,Black rolly poly
black_spear_grass,Black spear grass
black_speargrass,Black speargrass
black_spear_grass,Black Speargrass
bladder_ketmia,Bladder ketmia
bluebush,Bluebush
bluegrass,Bluegrass
bluegrass_tassel,Bluegrass Tassel
bottle_washer_grass,Bottle washer grass
broadleaf,Broadleaf
brisle_grass,Brislegrass
broadleaf_mix,Broadleaf Mix
brown_top,Brown top
buffel_grass ,Buffel grass 
bull_mitchell,Bull Mitchell
button_grass ,Button grass 
canola,Canola
canola_970,Canola 970
capeweed,Capeweed
cereals,Cereals
chickory,Chickory
chloris,Chloris
cida,Cida
clover,Clover
cilitors,Cilitors
cocksfoot,Cocksfoot
comb_grass,Comb grass
common_joy_weed ,Common joy weed 
copper_burr,Copper Burr
cotton_panic,Cotton Panic
cotton_bush,Cotton Bush
couch_grass,Couch grass
cow_vine,Cow vine
creeping_blues,Creeping blues
creeping_lantana,Creeping lantana
crop_stubble,Crop Stubble
cup_grass,Cup grass
curly_bluegrass,Curly bluegrass
curly_mitchell ,Curly Mitchell 
delicate_lovegrass,Delicate lovegrass
digitaria,Digitaria
downs_sorghum,Downs sorghum
drop_seed ,Drop seed 
dry_clover,Dry Clover
emu_foot,Emu foot
eragrostis_spp,Eragrostis species
erodium,Erodium
fairy_grass,Fairy grass
feathertop,Feathertop
feathertop_wiregrass ,Feathertop wiregrass 
fescue,Fescue
fennel,Fennel
fire_grass,Fire grass
flathead_burr,Flathead burr
flemmings_bush,Flemmings bush
flinders_grass ,Flinders grass 
fluffy_Gomphrena,Fluffy Gomphrena
forage_sorghum,Forage sorghum
forbes,Forbes
forest_bluegrass,Forest Bluegrass
frindge_glycine,Fringed glycine
galvanised_burr,Galvanised Burr
gamba_grass,Gamba Grass
gatton_panic,Gatton Panic 
geranium,Geranium
georgina_lucerne,Georgina Lucerne
giathead_burr,Giathead burr
gidgee_burr,Gidgee burr
goathead_burr,Goathead burr
golden_beard_grass ,Golden beard grass 
green_panic,Green Panic
hairy_lovegrass,Hairy Lovegrass
hairy_panic,Hairy Panic
herbages,Herbages
hoop_mitchell ,Hoop Mitchell 
humidicola_tully,Humidicola Tully
indian_couch,Indian couch
italian_ryegrass,Italian Ryegrass
joyweed,Joyweed
kangaroo_grass,Kangaroo grass
kerosine_grass,Kerosine grass
kikuyu,Kikuyu
leaf_litter,Leaf Litter
lehmans_lovegrass,Lehmann's Lovergrass
limestone_bottlewasher,Limestone bottlewasher
liquiorice_bush,Liquiorice bush
bare_litter,Litter and Bare
long_spine_sclerolena,Long spine sclerolena
love_grass,Love grass
lovegrass_species,Lovegrass species
hemp,Low-THC Hemp
lucerne,Lucerne
lucerne_mix,Lucerne Mix
medic,Medic
mekong_cresantha,Mekong Cresantha
mitchell_grass_sp,Mitchell Grass Species
mixed,Mixed
munyeroo,Munyeroo
mulga_grass,Mulga Grass
mulla_mulla,Mulla Mulla
native,Native
nardoo,Nardoo
native_couch,Native Couch
native_jute,Native jute
native_millet ,Native millet 
native_sorghum ,Native sorghum 
neptunia,Neptunia
nut_grass ,Nut grass 
oats,Oats
onion_weed,Onion Weed
other_,Other
parakeelya,Parakeelya
pattersons_curse,Pattersonï¿½s Curse
paper_onion_vine,Paper Onion Vine
pea_bush ,Pea bush 
peach_vine,Peach vine
pepper_grass,Pepper grass
perennial_grass_sp,Perennial grass sp
perennial_ryegrass,Perennial Ryegrass
perennial_bristlegrass,Perennial Bristle Grass
phalaris,Phalaris
phalaris_mix,Phalaris Mix
pigweed ,Pigweed 
plainsgrass,Plainsgrass
plume_sorghum,Plume Sorghum 
premier_digit,Premier Digit
purple_joy_weed,Purple joy weed
purple_pigeon,Purple pigeon
qld_blue_grass ,Queensland blue grass 
raddish,Raddish
rape,Rape
native_red_grass,Red Grass
red_natal_sp,Red Natal species
rhodes_grass,Rhodes grass
ribbon_grass,Ribbon grass
rhyncosia,Rhyncosia
rolley_polly_shrub,Rolley polly shrub
rye_mix,Rye-Mix
ryegrass,Ryegrass
rhyncosia,Ryncosia
sabi_grass,Sabi grass
sclerolena_sp,Sclerolena species
sclerolinas,Sclerolinas
scrubby_stylo,Scrubby Stylo
seca,Seca
sedge_grass,Sedge grass
sedge_sp,Sedge species
sensitive_plant,Sensitive Plant
sida_sp,Sida species
signal_grass,Signal Grass
silk_sorgham,Silk Sorghum
silky_browntop,Silky Browntop
silke_bushmangrass,Silke Bushmangrass
silver_grass,Silver Grass
shot_grass,Shot Grass
soda_bush,Soda bush
slender_chloris,Soda bush
soft_rolly_polly,Soft Rolly Polly
sorghum,Sorghum
spinifex,Spinifex
spurge,Spurge
stipa_sp,Stipa species
strawberry_clover,Strawberry Clover
stylo,Stylo
sub_clover,Sub Clover
sultan_annual_rye,Sultan Annual Rye
summer_grass,Summer grass
sunflower_daisy,Sunflower daisy
switchgrass_native,Switchgrass (panicum native)
tar_vine,Tar vine
three_awn_sp,Three awn species
tick_weed,Tick weed
tillage_raddish,Tillage Raddish
triticale,Triticale
tropical_spp,Tropical species
turnip,Turnip
tully,Tully
unknown_species,Unknown species
urochloa,Urochloa
verbine,Verbine
verbena,Verbina
veldt_grass,Veldt Grass
vetch,Vetch
native_wallaby_grass,Wallaby Grass
waltheria,Waltheria
wanderie,Wanderie
microleena_weeping_grass,Weeping Grass
weeping_mitchell,Weeping Mitchell
wheat,Wheat
white_clover,White Clover
white_clover,White speargrass
whitegrass,Whitegrass
wild_rice,Wild rice
windmaill_grass,Windmill Grass
winter_grass,Winter Grass
wire_grass_sp,Wire grass species
wooly_oat,Wooly Oat
wooly_butt,Wooly Butt
wooly_copper_burr,Wooly Copper burr
wynn_cassia,Wynn cassia
zig_zag_grass,Zig Zag grass